STRESS	ORDER	SWAP_ID	SWAP_NAME	PROJECT_ID
UV	1	1346	WS_UV_1 / WS_1	0
UV	2	1342	WS_UV_2 / WS_2	0
UV	3	1351	WS_UV_3 / WS_3	0
UV	4	1345	EBL87_UV_1 / EBL87_1	0
UV	5	1341	EBL87_UV_2 / EBL87_2	0
UV	6	1353	DML6_UV_1 / DML6_1	0
UV	7	1352	DML6_UV_2 / DML6_2	0
SALT	1	1401	NaCl_1 / Control_1	129
SALT	2	1402	NaCl_2 / Control_2	129
SALT	3	1400	NaCl_3 / Control_3	129
SALT	4	1261	ga1-3_30min_salt_1 / WT_30min_salt_1	121
SALT	5	1260	ga1-3_30min_salt_2 / WT_30min_salt_2	121
SALT	6	1265	penta_30min_salt_1 / WT_30min_salt_1	121
SALT	7	1269	penta_30min_salt_2 / WT_30min_salt_2	121
SALT	8	1262	ga1-3_1h_salt_1 / WT_1h_salt_1	121
SALT	9	1266	ga1-3_1h_salt_2 / WT_1h_salt_2	121
SALT	10	1268	penta_1h_salt_1 / WT_1h_salt_1	121
SALT	11	1267	penta_1h_salt_2 / WT_1h_salt_2	121
SALT	12	1371	25_dor2_salt_1 / 7_Col0_salt_1	126
SALT	13	1365	26_dor2_salt_2 / 8_Col0_salt_2	126
SALT	14	1366	23_dor2_drought_2 / 5_Col0_drought_2	126
SALT	15	1369	24_dor2_drought_3 / 6_Col0_drought_3	126
GAMMA	1	494	SIr_ROOT_1 / SNIr_ROOT_1	19
GAMMA	2	491	SIr_ROOT_2 / SNIr_ROOT_2	19
GAMMA	3	499	SIrSADE_1 / SNIrSADE_1	19
GAMMA	4	498	SIrSADE_2 / SNIrSADE_2	19
GAMMA	5	500	SIrSADE_3 / SNIrSADE_3	19
GAMMA	6	490	ATMIr_ROOT_2 / SIr_ROOT_2	19
GAMMA	7	492	ATMIr_ROOT_2 / ATMNIr_ROOT_2	19
GAMMA	8	495	ATMIr_ROOT_1 / ATMNIr_ROOT_1	19
GAMMA	9	502	SIr0.75h / S0.75h	19
GAMMA	10	503	SIr1.5h / S1.5h	19
GAMMA	11	508	SIr3h / S3h	19
GAMMA	12	506	SIr5h / S5h	19
GAMMA	13	501	atmIr3h / SIr3h	19
GAMMA	14	504	atmIr0.75h / atm0.75h	19
GAMMA	15	510	atmIr1.5h / atm1.5h	19
GAMMA	16	509	atmIr3h / atm3h	19
GAMMA	17	505	atmIr5h / atm5h	19
GAMMA	18	2639	IR10Gy_2h_1 / Control_2h_1	216
GAMMA	19	2643	IR10Gy_2h_2 / Control_2h_2	216
GAMMA	20	2640	IR40Gy_2h_1 / Control_2h_1	216
GAMMA	21	2644	IR40Gy_2h_2 / Control_2h_2	216
GAMMA	22	2641	IR10Gy_26h_1 / Control_26h_1	216
GAMMA	23	2637	IR10Gy_26h_2 / Control_26h_2	216
GAMMA	24	2642	IR40Gy_26h_1 / Control_26h_1	216
GAMMA	25	2638	IR40Gy_26h_2 / Control_26h_2	216
DROUGHT	1	1101	Total_RNA_Drought_1 / Total_RNA_Control_1	111
DROUGHT	2	1104	Total_RNA_Drought_2 / Total_RNA_Control_2	111
DROUGHT	3	29	Col0_stress / Col0	38
