PROBE_ID	PROBE_TYPE	GENE_ID	GENE_TYPE	DESCRIPTION
BAR	control/buffer	no_defined		
BT	control/buffer	no_defined		
BUFFER	control/buffer	no_defined		
C001	M1	ATCG00010;ATCG00020	tRNA;CDS	A chloroplast gene encoding a histidine-accepting tRNA.;Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core
C002	E1	ATCG00020	CDS	Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core
C003	M1	ATCG00020;ATCG00030	CDS;tRNA	Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core;Lysine tRNA
C004	M1	ATCG00030;ATCG00040	tRNA;CDS	Lysine tRNA;Encodes a maturase located in the trnK intron in the chloroplast genome.
C005	M2	ATCG00030;ATCG00040	tRNA;CDS	Lysine tRNA;Encodes a maturase located in the trnK intron in the chloroplast genome.
C006	M1	ATCG00030;ATCG00040	tRNA;CDS	Lysine tRNA;Encodes a maturase located in the trnK intron in the chloroplast genome.
C007	E1	ATCG00030	tRNA	Lysine tRNA
C008	EV1	ATCG00030	tRNA	Lysine tRNA
C009	V1	ATCG00050	CDS	Homologous to the bacterial ribosomal protein S16
C010	EV1	ATCG00050	CDS	Homologous to the bacterial ribosomal protein S16
C011	I1	ATCG00050	CDS	Homologous to the bacterial ribosomal protein S16
C012	IE1	ATCG00050	CDS	Homologous to the bacterial ribosomal protein S16
C013	VE1	ATCG00050	CDS	Homologous to the bacterial ribosomal protein S16
C014	EV1	ATCG00060	tRNA	tRNA-Gln
C015	EV1	ATCG00070	CDS	PSII K protein
C016	M1	ATCG00080;ATCG00090	CDS;tRNA	PSII I protein;tRNA-Ser
C017	VE1	ATCG00090	tRNA	tRNA-Ser
C018	VE1	ATCG00100	tRNA	tRNA-Gly
C019	EV1	ATCG00100	tRNA	tRNA-Gly
C020	EV1	ATCG00100	tRNA	tRNA-Gly
C021	M1	ATCG00100;ATCG00110	tRNA;tRNA	tRNA-Gly;tRNA-Arg
C022	EV1	ATCG00120	CDS	Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.
C023	E2	ATCG00120	CDS	Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.
C024	M1	ATCG00120;ATCG00130	CDS;CDS	Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.;ATPase F subunit.
C025	IE1	ATCG00130	CDS	ATPase F subunit.
C026	IE1	ATCG00130	CDS	ATPase F subunit.
C027	VE1	ATCG00130	CDS	ATPase F subunit.
C028	EV2	ATCG00140	CDS	ATPase III subunit
C029	VE2	ATCG00140	CDS	ATPase III subunit
C030	VE3	ATCG00150	CDS	Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.
C031	E3	ATCG00150	CDS	Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.
C032	M3	ATCG00150;ATCG00160	CDS;CDS	Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.;Chloroplast ribosomal protein S2
C033	E3	ATCG00160	CDS	Chloroplast ribosomal protein S2
C034	EV3	ATCG00160	CDS	Chloroplast ribosomal protein S2
C035	EV3	ATCG00170	CDS	RNA polymerase beta subunit-2
C036	E3	ATCG00170	CDS	RNA polymerase beta subunit-2
C037	M1	ATCG00170;ATCG00180	CDS;CDS	RNA polymerase beta subunit-2;RNA polymerase beta subunit-1
C038	E1	ATCG00180	CDS	RNA polymerase beta subunit-1
C039	IE2	ATCG00180	CDS	RNA polymerase beta subunit-1
C040	I2	ATCG00180	CDS	RNA polymerase beta subunit-1
C041	IE1	ATCG00180	CDS	RNA polymerase beta subunit-1
C042	M1	ATCG00180;ATCG00190	CDS;CDS	RNA polymerase beta subunit-1;Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.
C043	E1	ATCG00190	CDS	Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.
C044	E1	ATCG00190	CDS	Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.
C045	E1	ATCG00190	CDS	Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.
C046	VE1	ATCG00190	CDS	Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution.
C047	V1	no_gene		
C048	VE1	ATCG00200	tRNA	a chloroplast-encoded tRNA for cysteine
C049	VE1	ATCG00200	tRNA	a chloroplast-encoded tRNA for cysteine
C050	VE1	ATCG00210	CDS	hypothetical protein
C051	VE1	ATCG00210	CDS	hypothetical protein
C052	EV1	ATCG00220	CDS	PSII low MW protein
C053	V1	ATCG00220	CDS	PSII low MW protein
C054	V1	no_gene		
C055	EV1	ATCG00230	tRNA	tRNA-Asp
C056	M3	ATCG00240;ATCG00250	tRNA;tRNA	tRNA-Tyr;this chloroplast gene encodes a UUC tRNA whose expression is regulated by SIG2.
C057	M3	ATCG00240;ATCG00250	tRNA;tRNA	tRNA-Tyr;this chloroplast gene encodes a UUC tRNA whose expression is regulated by SIG2.
C058	V2	no_gene		
C059	EV1	ATCG00260	tRNA	tRNA-Thr
C060	V1	no_gene		
C061	V1	no_gene		
C062	EV1	ATCG00270	CDS	PSII D2 protein
C063	E1	ATCG00270	CDS	PSII D2 protein
C064	M1	ATCG00270;ATCG00280	CDS;CDS	PSII D2 protein;chloroplast gene encoding a CP43 subunit of the photosystem II reaction center. promoter contains a blue-light responsive element.
C065	M1	ATCG00270;ATCG00280	CDS;CDS	PSII D2 protein;chloroplast gene encoding a CP43 subunit of the photosystem II reaction center. promoter contains a blue-light responsive element.
C066	E1	ATCG00280	CDS	chloroplast gene encoding a CP43 subunit of the photosystem II reaction center. promoter contains a blue-light responsive element.
C067	M1	ATCG00280;ATCG00290	CDS;tRNA	chloroplast gene encoding a CP43 subunit of the photosystem II reaction center. promoter contains a blue-light responsive element.;tRNA-Ser
C068	VE1	ATCG00300	CDS	encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.
C069	VE1	ATCG00300	CDS	encodes PsbZ, which is a subunit of photosystem II. In Chlamydomonas, this protein has been shown to be essential in the interaction between PS II and the light harvesting complex II.
C070	M1	ATCG00310;ATCG00320	tRNA;tRNA	tRNA-Gly;tRNA-Phe
C071	M1	ATCG00320;ATCG00330	tRNA;CDS	tRNA-Phe;30S chloroplast ribosomal protein S14
C072	M1	ATCG00330;ATCG00340	CDS;CDS	30S chloroplast ribosomal protein S14;Encodes the D1 subunit of photosystem I and II reaction centers.
C073	E2	ATCG00340	CDS	Encodes the D1 subunit of photosystem I and II reaction centers.
C074	M1	ATCG00340;ATCG00350	CDS;CDS	Encodes the D1 subunit of photosystem I and II reaction centers.;Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein, hydrophobic protein encoded by the chloroplast genome.
C075	E2	ATCG00350	CDS	Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein, hydrophobic protein encoded by the chloroplast genome.
C076	VE1	ATCG00350	CDS	Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein, hydrophobic protein encoded by the chloroplast genome.
C077	VE2	ATCG00360	CDS	Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii, this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.
C078	0	no_gene		
C079	I1	ATCG00360	CDS	Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii, this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.
C080	EV1	ATCG00360	CDS	Encodes a protein required for photosystem I assembly and stability. In Chlamydomonas reinhardtii, this protein seems to act as a PSI specific chaperone facilitating the assembly of the complex by interacting with PsaA and PsaD. A loss of function mutation in tobacco leads to a loss of photosystem I.
